Sample in Buffer,Sample in Window,TRIGGER,design_2_i/probe0,design_2_i/probe1,design_2_i/vcsel_top_0_current_data_b[13:0],design_2_i/xlslice_0_Dout[13:0],design_2_i/vcsel_top_0_current_data1[13:0],design_2_i/vcsel_top_0_vcsel_tdata[13:0],design_2_i/vcsel_top_0_p_static_data[13:0],design_2_i/vcsel_conv_0_dac_data[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,UNSIGNED
0,0,0,0,0,3014,16238,3012,5011,5012,1040
1,1,0,0,0,3014,16238,3012,5011,5012,22942
2,2,0,0,0,3014,16238,3012,5012,5012,31736
3,3,0,0,0,3014,16234,3012,5011,5012,836
4,4,0,0,0,3014,16234,3012,5011,5012,20834
5,5,0,0,0,3014,16234,3012,5012,5012,22320
6,6,0,0,0,3014,16234,3012,5011,5012,1840
7,7,0,0,0,3014,16234,3012,5011,5012,3884
8,8,0,0,0,3014,16234,3012,5012,5012,22364
9,9,0,0,0,3014,16234,3012,5011,5012,23600
10,10,0,0,0,3014,16234,3012,5011,5012,20970
11,11,0,0,0,3014,16236,3012,5012,5012,20752
12,12,0,0,0,3014,16236,3012,5011,5012,22248
13,13,0,0,0,3014,16236,3012,5011,5012,24280
14,14,0,0,0,3014,16236,3012,5012,5012,3574
15,15,0,0,0,3014,16238,3012,5011,5012,3086
16,16,0,0,0,3014,16238,3012,5011,5012,3818
17,17,0,0,0,3014,16238,3012,5012,5012,21144
18,18,0,0,0,3014,16238,3012,5011,5012,712
19,19,0,0,0,3014,16236,3012,5011,5012,428
20,20,0,0,0,3014,16236,3012,5012,5012,3280
21,21,0,0,0,3014,16236,3012,5011,5012,3420
22,22,0,0,0,3014,16236,3012,5011,5012,31846
23,23,0,0,0,3014,16230,3012,5012,5012,3138
24,24,0,0,0,3014,16230,3012,5011,5012,712
25,25,0,0,0,3014,16230,3012,5011,5012,3122
26,26,0,0,0,3014,16230,3012,5012,5012,20866
27,27,0,0,0,3014,16234,3012,5011,5012,1406
28,28,0,0,0,3014,16234,3012,5011,5012,21850
29,29,0,0,0,3014,16234,3012,5012,5012,2288
30,30,0,0,0,3014,16234,3012,5011,5012,22634
31,31,0,0,0,3014,56,3012,5011,5012,2340
32,32,0,0,0,2003,56,3012,5012,5012,22194
33,33,0,0,0,2003,56,2759,5011,5012,856
34,34,0,0,0,2003,56,2570,5011,4759,21490
35,35,0,0,0,2003,50,2428,5012,4570,21658
36,36,0,0,0,2003,50,2321,5011,4428,24334
37,37,0,0,0,2003,50,2241,4955,4321,2196
38,38,0,0,0,2003,50,2181,4802,4241,990
39,39,0,0,0,2003,48,2136,4631,4181,25722
40,40,0,0,0,2003,48,2102,4480,4136,22780
41,41,0,0,0,2003,48,2077,4336,4102,24290
42,42,0,0,0,2003,48,2058,4239,4077,2054
43,43,0,0,0,2003,48,2044,4173,4058,13544
44,44,0,0,0,2003,48,2033,4118,4044,27488
45,45,0,0,0,2003,48,2025,4090,4033,23602
46,46,0,0,0,2003,48,2019,4069,4025,13622
47,47,0,0,0,2003,46,2015,4049,4019,13776
48,48,0,0,0,2002,46,2012,4041,4015,13030
49,49,0,0,0,2002,46,2009,4031,4012,27926
50,50,0,0,0,2002,46,2007,4022,4009,26154
51,51,0,0,0,2002,52,2005,4019,4007,26944
52,52,0,0,0,2003,52,2004,4014,4005,16202
53,53,0,0,0,2003,52,2003,4010,4004,13348
54,54,0,0,0,2003,52,2003,4009,4003,27366
55,55,0,0,0,2003,54,2003,4006,4003,28460
56,56,0,0,0,2003,54,2003,4004,4003,15644
57,57,0,0,0,2003,54,2003,4004,4003,27624
58,58,0,0,0,2003,54,2003,4002,4003,25694
59,59,0,0,0,2003,52,2003,4002,4003,15154
60,60,0,0,0,2003,52,2003,4003,4003,22108
61,61,0,0,0,2003,52,2003,4002,4003,13446
62,62,0,0,0,2003,52,2003,4002,4003,17360
63,63,0,0,0,2003,48,2003,4003,4003,26268
64,64,0,0,0,2003,48,2003,4002,4003,27956
65,65,0,0,0,2003,48,2003,4002,4003,28400
66,66,0,0,0,2003,48,2003,4003,4003,13898
67,67,0,0,0,2003,58,2003,4002,4003,14188
68,68,0,0,0,2003,58,2003,4002,4003,24454
69,69,0,0,0,2003,58,2003,4003,4003,26064
70,70,0,0,0,2003,58,2003,4002,4003,14072
71,71,0,0,0,2003,16226,2003,4002,4003,13844
72,72,0,0,0,3014,16226,2003,4003,4003,13836
73,73,0,0,0,3014,16226,2255,4002,4003,28422
74,74,0,0,0,3014,16226,2444,4002,4255,12656
75,75,0,0,0,3014,16228,2586,4003,4444,28656
76,76,0,0,0,3014,16228,2693,4002,4586,28612
77,77,0,0,0,3014,16228,2773,4058,4693,17208
78,78,0,0,0,3014,16228,2833,4212,4773,26784
79,79,0,0,0,3014,16234,2878,4382,4833,24798
80,80,0,0,0,3014,16234,2912,4533,4878,27848
81,81,0,0,0,3014,16234,2937,4677,4912,28560
82,82,0,0,0,3014,16234,2956,4774,4937,14662
83,83,0,0,0,3014,16234,2970,4840,4956,106
84,84,0,0,0,3014,16234,2981,4895,4970,1152
85,85,0,0,0,3014,16234,2989,4923,4981,24258
86,86,0,0,0,3014,16234,2995,4944,4989,24702
87,87,0,0,0,3014,16240,2999,4964,4995,24480
88,88,0,0,0,3015,16240,3002,4972,4999,1560
89,89,0,0,0,3015,16240,3005,4982,5002,20558
90,90,0,0,0,3015,16240,3007,4991,5005,596
91,91,0,0,0,3015,54,3009,4994,5007,21474
92,92,0,0,0,2003,54,3010,4999,5009,2634
93,93,0,0,0,2003,54,2758,5003,5010,24120
94,94,0,0,0,2003,54,2569,5004,4758,21006
95,95,0,0,0,2003,56,2427,5007,4569,2156
96,96,0,0,0,2003,56,2321,5009,4427,574
97,97,0,0,0,2003,56,2241,4953,4321,26092
98,98,0,0,0,2003,56,2181,4801,4241,29056
99,99,0,0,0,2003,42,2136,4631,4181,1054
100,100,0,0,0,2002,42,2102,4479,4136,27258
101,101,0,0,0,2002,42,2077,4336,4102,1264
102,102,0,0,0,2002,42,2058,4239,4077,22136
103,103,0,0,0,2002,52,2044,4173,4058,12712
104,104,0,0,0,2003,52,2033,4118,4044,18684
105,105,0,0,0,2003,52,2025,4090,4033,26880
106,106,0,0,0,2003,52,2019,4069,4025,28556
107,107,0,0,0,2003,50,2015,4049,4019,26806
108,108,0,0,0,2003,50,2012,4041,4015,12956
109,109,0,0,0,2003,50,2009,4031,4012,27594
110,110,0,0,0,2003,50,2007,4022,4009,26908
111,111,0,0,0,2003,16234,2006,4019,4007,14072
112,112,0,0,0,3014,16234,2005,4014,4006,13692
113,113,0,0,0,3014,16234,2257,4010,4005,17342
114,114,0,0,0,3014,16234,2446,4009,4257,14400
115,115,0,0,0,3014,16236,2588,4006,4446,14386
116,116,0,0,0,3014,16236,2694,4005,4588,23284
117,117,0,0,0,3014,16236,2774,4061,4694,13938
118,118,0,0,0,3014,16236,2834,4213,4774,12764
119,119,0,0,0,3014,16234,2879,4384,4834,15402
120,120,0,0,0,3014,16234,2912,4535,4879,27240
121,121,0,0,0,3014,16234,2937,4677,4912,23972
122,122,0,0,0,3014,16234,2956,4775,4937,15798
123,123,0,0,0,3014,16234,2970,4841,4956,2106
124,124,0,0,0,3014,16234,2981,4895,4970,20722
125,125,0,0,0,3014,16234,2989,4923,4981,2150
126,126,0,0,0,3014,16234,2995,4944,4989,3528
127,127,0,0,0,3014,16234,2999,4963,4995,20792
128,128,0,0,0,3014,16234,3002,4972,4999,1440
129,129,0,0,0,3014,16234,3005,4982,5002,21032
130,130,0,0,0,3014,16234,3007,4991,5005,22692
131,131,0,0,0,3014,16234,3008,4994,5007,2178
132,132,0,0,0,3014,16234,3009,4999,5008,3966
133,133,0,0,0,3014,16234,3010,5003,5009,3010
134,134,0,0,0,3014,16234,3011,5004,5010,2864
135,135,0,0,0,3014,16234,3011,5007,5011,3080
136,136,0,0,0,3014,16234,3011,5008,5011,23638
137,137,0,0,0,3014,16234,3011,5008,5011,772
138,138,0,0,0,3014,16234,3011,5010,5011,20724
139,139,0,0,0,3014,16228,3011,5010,5011,20572
140,140,0,0,0,3014,16228,3011,5010,5011,22502
141,141,0,0,0,3014,16228,3011,5011,5011,3440
142,142,0,0,0,3014,16228,3011,5010,5011,2760
143,143,0,0,0,3014,16230,3011,5010,5011,3628
144,144,0,0,0,3014,16230,3011,5011,5011,350
145,145,0,0,0,3014,16230,3011,5010,5011,23112
146,146,0,0,0,3014,16230,3011,5010,5011,21500
147,147,0,0,0,3014,16226,3011,5011,5011,20528
148,148,0,0,0,3014,16226,3011,5010,5011,31098
149,149,0,0,0,3014,16226,3011,5010,5011,2788
150,150,0,0,0,3014,16226,3011,5011,5011,2510
151,151,0,0,0,3014,50,3011,5010,5011,20588
152,152,0,0,0,2003,50,3011,5010,5011,3252
153,153,0,0,0,2003,50,2759,5011,5011,21020
154,154,0,0,0,2003,50,2570,5010,4759,21328
155,155,0,0,0,2003,54,2428,5010,4570,21794
156,156,0,0,0,2003,54,2321,5011,4428,23192
157,157,0,0,0,2003,54,2241,4954,4321,32448
158,158,0,0,0,2003,54,2181,4802,4241,25974
159,159,0,0,0,2003,52,2136,4631,4181,22646
160,160,0,0,0,2003,52,2102,4479,4136,21706
161,161,0,0,0,2003,52,2077,4337,4102,1754
162,162,0,0,0,2003,52,2058,4239,4077,1784
163,163,0,0,0,2003,54,2044,4173,4058,13088
164,164,0,0,0,2003,54,2033,4119,4044,26424
165,165,0,0,0,2003,54,2025,4090,4033,27328
166,166,0,0,0,2003,54,2019,4069,4025,15026
167,167,0,0,0,2003,44,2015,4050,4019,13180
168,168,0,0,0,2002,44,2012,4041,4015,27884
169,169,0,0,0,2002,44,2009,4031,4012,15614
170,170,0,0,0,2002,44,2007,4022,4009,26968
171,171,0,0,0,2002,16232,2005,4019,4007,12710
172,172,0,0,0,3014,16232,2004,4014,4005,24180
173,173,0,0,0,3014,16232,2256,4010,4004,15244
174,174,0,0,0,3014,16232,2445,4009,4256,13370
175,175,0,0,0,3014,16228,2587,4006,4445,16638
176,176,0,0,0,3014,16228,2693,4004,4587,15298
177,177,0,0,0,3014,16228,2773,4060,4693,26248
178,178,0,0,0,3014,16228,2833,4212,4773,26596
179,179,0,0,0,3014,16228,2878,4382,4833,14736
180,180,0,0,0,3014,16228,2912,4534,4878,19752
181,181,0,0,0,3014,16228,2937,4676,4912,24342
182,182,0,0,0,3014,16228,2956,4774,4937,27412
183,183,0,0,0,3014,16234,2970,4840,4956,2878
184,184,0,0,0,3014,16234,2981,4894,4970,1492
185,185,0,0,0,3014,16234,2989,4923,4981,3392
186,186,0,0,0,3014,16234,2995,4944,4989,28956
187,187,0,0,0,3014,16228,2999,4963,4995,31754
188,188,0,0,0,3014,16228,3002,4972,4999,22984
189,189,0,0,0,3014,16228,3005,4982,5002,2270
190,190,0,0,0,3014,16228,3007,4991,5005,23696
191,191,0,0,0,3014,16234,3008,4994,5007,22358
192,192,0,0,0,3014,16234,3009,4999,5008,22826
193,193,0,0,0,3014,16234,3010,5003,5009,23860
194,194,0,0,0,3014,16234,3011,5004,5010,3464
195,195,0,0,0,3014,16226,3011,5007,5011,2362
196,196,0,0,0,3014,16226,3011,5008,5011,2616
197,197,0,0,0,3014,16226,3011,5008,5011,3530
198,198,0,0,0,3014,16226,3011,5010,5011,1304
199,199,0,0,0,3014,16230,3011,5010,5011,23742
200,200,0,0,0,3014,16230,3011,5010,5011,2918
201,201,0,0,0,3014,16230,3011,5011,5011,3894
202,202,0,0,0,3014,16230,3011,5010,5011,604
203,203,0,0,0,3014,16238,3011,5010,5011,23638
204,204,0,0,0,3014,16238,3011,5011,5011,22506
205,205,0,0,0,3014,16238,3011,5010,5011,3768
206,206,0,0,0,3014,16238,3011,5010,5011,2782
207,207,0,0,0,3014,16230,3011,5011,5011,1186
208,208,0,0,0,3014,16230,3011,5010,5011,23534
209,209,0,0,0,3014,16230,3011,5010,5011,20670
210,210,0,0,0,3014,16230,3011,5011,5011,2398
211,211,0,0,0,3014,48,3011,5010,5011,24264
212,212,0,0,0,2003,48,3011,5010,5011,22014
213,213,0,0,0,2003,48,2759,5011,5011,3488
214,214,0,0,0,2003,48,2570,5010,4759,21126
215,215,0,0,0,2003,54,2428,5010,4570,22586
216,216,0,0,0,2003,54,2321,5011,4428,2080
217,217,0,0,0,2003,54,2241,4954,4321,20538
218,218,0,0,0,2003,54,2181,4802,4241,32738
219,219,0,0,0,2003,58,2136,4631,4181,746
220,220,0,0,0,2003,58,2102,4479,4136,24378
221,221,0,0,0,2003,58,2077,4337,4102,22354
222,222,0,0,0,2003,58,2058,4239,4077,682
223,223,0,0,0,2003,52,2044,4173,4058,12748
224,224,0,0,0,2003,52,2033,4119,4044,14568
225,225,0,0,0,2003,52,2025,4090,4033,12492
226,226,0,0,0,2003,52,2019,4069,4025,13634
227,227,0,0,0,2003,50,2015,4050,4019,13858
228,228,0,0,0,2003,50,2012,4041,4015,13868
229,229,0,0,0,2003,50,2009,4031,4012,16866
