Sample in Buffer,Sample in Window,TRIGGER,design_2_i/adc_bit_decoder_0_t_ready,design_2_i/adc_bit_decoder_0_bit_out,design_2_i/xlslice_0_Dout[13:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,UNSIGNED
0,0,0,1,1,48
1,1,0,1,0,48
2,2,0,1,0,48
3,3,0,1,0,48
4,4,0,1,0,40
5,5,0,1,0,40
6,6,0,1,0,40
7,7,0,1,0,40
8,8,0,1,0,16164
9,9,0,1,1,16164
10,10,0,1,1,16164
11,11,0,1,1,16164
12,12,0,1,1,16180
13,13,0,1,1,16180
14,14,0,1,1,16180
15,15,0,1,1,16180
16,16,0,1,1,16172
17,17,0,1,1,16172
18,18,0,1,1,16172
19,19,0,1,1,16172
20,20,0,1,1,16160
21,21,0,1,1,16160
22,22,0,1,1,16160
23,23,0,1,1,16160
24,24,0,1,1,16164
25,25,0,1,1,16164
26,26,0,1,1,16164
27,27,0,1,1,16164
28,28,0,1,1,40
29,29,0,1,0,40
30,30,0,1,0,40
31,31,0,1,0,40
32,32,0,1,0,44
33,33,0,1,0,44
34,34,0,1,0,44
35,35,0,1,0,44
36,36,0,1,0,48
37,37,0,1,0,48
38,38,0,1,0,48
39,39,0,1,0,48
40,40,0,1,0,40
41,41,0,1,0,40
42,42,0,1,0,40
43,43,0,1,0,40
44,44,0,1,0,44
45,45,0,1,0,44
46,46,0,1,0,44
47,47,0,1,0,44
48,48,0,1,0,48
49,49,0,1,0,48
50,50,0,1,0,48
51,51,0,1,0,48
52,52,0,1,0,52
53,53,0,1,0,52
54,54,0,1,0,52
55,55,0,1,0,52
56,56,0,1,0,32
57,57,0,1,0,32
58,58,0,1,0,32
59,59,0,1,0,32
60,60,0,1,0,16176
61,61,0,1,1,16176
62,62,0,1,1,16176
63,63,0,1,1,16176
64,64,0,1,1,16192
65,65,0,1,1,16192
66,66,0,1,1,16192
67,67,0,1,1,16192
68,68,0,1,1,44
69,69,0,1,0,44
70,70,0,1,0,44
71,71,0,1,0,44
72,72,0,1,0,52
73,73,0,1,0,52
74,74,0,1,0,52
75,75,0,1,0,52
76,76,0,1,0,48
77,77,0,1,0,48
78,78,0,1,0,48
79,79,0,1,0,48
80,80,0,1,0,40
81,81,0,1,0,40
82,82,0,1,0,40
83,83,0,1,0,40
84,84,0,1,0,28
85,85,0,1,0,28
86,86,0,1,0,28
87,87,0,1,0,28
88,88,0,1,0,16156
89,89,0,1,1,16156
90,90,0,1,1,16156
91,91,0,1,1,16156
92,92,0,1,1,16188
93,93,0,1,1,16188
94,94,0,1,1,16188
95,95,0,1,1,16188
96,96,0,1,1,16168
97,97,0,1,1,16168
98,98,0,1,1,16168
99,99,0,1,1,16168
100,100,0,1,1,16176
101,101,0,1,1,16176
102,102,0,1,1,16176
103,103,0,1,1,16176
104,104,0,1,1,16180
105,105,0,1,1,16180
106,106,0,1,1,16180
107,107,0,1,1,16180
108,108,0,1,1,64
109,109,0,1,0,64
110,110,0,1,0,64
111,111,0,1,0,64
112,112,0,1,0,44
113,113,0,1,0,44
114,114,0,1,0,44
115,115,0,1,0,44
116,116,0,1,0,32
117,117,0,1,0,32
