Sample in Buffer,Sample in Window,TRIGGER,design_2_i/adc_bit_decoder_0_t_ready,design_2_i/ZmodScopeController_0_cDataAxisTvalid,design_2_i/delay_96_cycles_0_dout,design_2_i/adc_bit_decoder_0_bit_out,design_2_i/comparator_0_correct_bits[13:0],design_2_i/comparator_0_whole_bits[13:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,UNSIGNED,UNSIGNED
0,0,0,1,1,1,0,6609,16210
1,1,0,1,0,1,1,6609,16210
2,2,0,1,0,1,1,6609,16210
3,3,0,1,0,1,1,6609,16210
4,4,0,1,1,1,1,6609,16210
5,5,0,1,0,1,1,6609,16210
6,6,0,1,0,1,1,6609,16210
7,7,0,1,0,1,1,6609,16210
8,8,0,1,1,1,1,6609,16210
9,9,0,1,0,1,1,6609,16210
10,10,0,1,0,1,1,6610,16210
11,11,0,1,0,1,1,6610,16210
12,12,0,1,1,1,1,6610,16210
13,13,0,1,0,1,1,6610,16210
14,14,0,1,0,1,1,6610,16210
15,15,0,1,0,1,1,6610,16210
16,16,0,1,1,1,1,6610,16210
17,17,0,1,0,1,1,6610,16210
18,18,0,1,0,1,1,6610,16210
19,19,0,1,0,1,1,6610,16211
20,20,0,1,1,1,1,6610,16211
21,21,0,1,0,1,0,6610,16211
22,22,0,1,0,1,0,6610,16211
23,23,0,1,0,1,0,6610,16211
24,24,0,1,1,1,0,6610,16211
25,25,0,1,0,1,0,6610,16211
26,26,0,1,0,1,0,6610,16211
27,27,0,1,0,1,0,6610,16211
28,28,0,1,1,1,0,6610,16211
29,29,0,1,0,1,0,6610,16211
30,30,0,1,0,1,0,6610,16211
31,31,0,1,0,1,0,6610,16211
32,32,0,1,1,1,0,6610,16211
33,33,0,1,0,1,0,6610,16211
34,34,0,1,0,1,0,6610,16211
35,35,0,1,0,1,0,6610,16211
36,36,0,1,1,1,0,6610,16211
37,37,0,1,0,1,1,6610,16211
38,38,0,1,0,1,1,6610,16211
39,39,0,1,0,1,1,6610,16212
40,40,0,1,1,1,1,6610,16212
41,41,0,1,0,1,0,6610,16212
42,42,0,1,0,1,0,6610,16212
43,43,0,1,0,1,0,6610,16212
44,44,0,1,1,1,0,6610,16212
45,45,0,1,0,1,1,6610,16212
46,46,0,1,0,1,1,6610,16212
47,47,0,1,0,1,1,6610,16212
48,48,0,1,1,1,1,6610,16212
49,49,0,1,0,1,0,6610,16212
50,50,0,1,0,1,0,6610,16212
51,51,0,1,0,1,0,6610,16212
52,52,0,1,1,1,0,6610,16212
53,53,0,1,0,1,0,6610,16212
54,54,0,1,0,1,0,6610,16212
55,55,0,1,0,1,0,6610,16212
56,56,0,1,1,0,0,6610,16212
57,57,0,1,0,0,1,6610,16212
58,58,0,1,0,0,1,6610,16212
59,59,0,1,0,0,1,6610,16213
60,60,0,1,1,0,1,6610,16213
61,61,0,1,0,0,1,6610,16213
62,62,0,1,0,0,1,6610,16213
63,63,0,1,0,0,1,6610,16213
64,64,0,1,1,0,1,6610,16213
65,65,0,1,0,0,0,6610,16213
66,66,0,1,0,0,0,6610,16213
67,67,0,1,0,0,0,6610,16213
68,68,0,1,1,0,0,6610,16213
69,69,0,1,0,0,1,6610,16213
70,70,0,1,0,0,1,6610,16213
71,71,0,1,0,0,1,6610,16213
72,72,0,1,1,0,1,6610,16213
73,73,0,1,0,0,1,6610,16213
74,74,0,1,0,0,1,6610,16213
75,75,0,1,0,0,1,6610,16213
76,76,0,1,1,0,1,6610,16213
77,77,0,1,0,0,1,6610,16213
78,78,0,1,0,0,1,6610,16213
79,79,0,1,0,0,1,6610,16214
80,80,0,1,1,0,1,6610,16214
81,81,0,1,0,0,1,6610,16214
82,82,0,1,0,0,1,6610,16214
83,83,0,1,0,0,1,6610,16214
84,84,0,1,1,0,1,6610,16214
85,85,0,1,0,0,1,6610,16214
86,86,0,1,0,0,1,6610,16214
87,87,0,1,0,0,1,6610,16214
88,88,0,1,1,0,1,6610,16214
89,89,0,1,0,0,1,6610,16214
90,90,0,1,0,0,1,6610,16214
91,91,0,1,0,0,1,6610,16214
92,92,0,1,1,0,1,6610,16214
93,93,0,1,0,0,1,6610,16214
94,94,0,1,0,0,1,6610,16214
95,95,0,1,0,0,1,6610,16214
96,96,0,1,1,1,1,6610,16214
97,97,0,1,0,1,1,6610,16214
98,98,0,1,0,1,1,6610,16214
99,99,0,1,0,1,1,6610,16215
100,100,0,1,1,1,1,6610,16215
101,101,0,1,0,1,0,6610,16215
102,102,0,1,0,1,0,6610,16215
103,103,0,1,0,1,0,6610,16215
104,104,0,1,1,1,0,6610,16215
105,105,0,1,0,1,0,6610,16215
106,106,0,1,0,1,0,6610,16215
107,107,0,1,0,1,0,6610,16215
108,108,0,1,1,1,0,6610,16215
109,109,0,1,0,1,1,6610,16215
110,110,0,1,0,1,1,6611,16215
111,111,0,1,0,1,1,6611,16215
112,112,0,1,1,1,1,6611,16215
113,113,0,1,0,1,1,6611,16215
114,114,0,1,0,1,1,6611,16215
115,115,0,1,0,1,1,6611,16215
116,116,0,1,1,0,1,6611,16215
117,117,0,1,0,0,0,6611,16215
118,118,0,1,0,0,0,6611,16215
119,119,0,1,0,0,0,6611,16216
120,120,0,1,1,0,0,6611,16216
121,121,0,1,0,0,1,6611,16216
122,122,0,1,0,0,1,6611,16216
123,123,0,1,0,0,1,6611,16216
124,124,0,1,1,0,1,6611,16216
125,125,0,1,0,0,1,6611,16216
126,126,0,1,0,0,1,6611,16216
127,127,0,1,0,0,1,6611,16216
128,128,0,1,1,0,1,6611,16216
129,129,0,1,0,0,1,6611,16216
130,130,0,1,0,0,1,6611,16216
131,131,0,1,0,0,1,6611,16216
132,132,0,1,1,0,1,6611,16216
133,133,0,1,0,0,1,6611,16216
134,134,0,1,0,0,1,6611,16216
135,135,0,1,0,0,1,6611,16216
